invoice_id,vendor_id,vendor_name,vendor_category,po_reference,po_amount,invoice_amount,gr_amount,deviation_pct,days_since_last_invoice,is_new_vendor,three_way_match,invoice_date,anomaly_type,label
INV-65546,V-007,SafetyFirst Ltd,safety,PO-78060,8698.57,8746.41,8698.57,0.55,28,0,1,2025-04-27,none,0
INV-20055,V-008,TechServe Inc,IT,PO-70036,43563.46,43502.21,43563.46,-0.14,26,0,1,2025-05-03,none,0
INV-99878,V-006,GlobalParts Co,industrial,PO-71759,55033.06,53466.19,55033.06,-2.85,33,0,1,2025-08-26,none,0
INV-80829,V-010,ProMed Devices,medical,PO-47051,94669.42,89695.41219100557,94669.42,-5.25,43,0,1,2025-05-25,none,0
INV-4905,V-009,CleanCo Services,facilities,PO-54864,5466.51,5411.34,5466.51,-1.01,33,0,1,2024-10-11,none,0
INV-10060,V-001,Apex Supplies Ltd,industrial,PO-75812,35810.4,35817.6,35810.4,0.02,26,0,1,2024-08-01,none,0
INV-39287,V-003,MedCo Supplies Inc,medical,PO-16784,11326.25,11466.8,11326.25,1.24,30,0,1,2026-03-06,none,0
INV-3867,V-009,CleanCo Services,facilities,PO-31880,5577.94,5645.56,5577.94,1.21,34,0,1,2024-07-21,none,0
INV-8059,V-NEW-013,NewVendor Corp 13,IT,PO-58993,242475.35,244973.61,195266.94,1.03,2,1,1,2025-04-30,new_vendor_risk,1
INV-85651,V-009,CleanCo Services,facilities,PO-36765,5583.4,5537.42,5583.4,-0.82,34,0,1,2024-11-16,none,0
INV-3263,V-008,TechServe Inc,IT,PO-67659,42904.87,42218.19,42904.87,-1.6,30,0,1,2026-03-17,none,0
INV-8648,V-004,OfficeMax,stationery,PO-14014,2051.48,2073.38,2051.48,1.07,32,0,1,2025-03-13,none,0
INV-15450,V-006,GlobalParts Co,industrial,PO-60249,56228.92,83305.81,56228.92,48.15,25,0,0,2025-08-19,overbilling,1
INV-9435,V-006,GlobalParts Co,industrial,PO-15042,50219.68,78911.34,50219.68,57.13,29,0,0,2024-05-24,overbilling,1
INV-85202,V-002,BioTech Equipment Ltd,medical,PO-81599,184019.11,187128.3,184019.11,1.69,31,0,1,2024-12-24,none,0
INV-52850,V-003,MedCo Supplies Inc,medical,PO-48537,11183.25,11471.03,11183.25,2.57,33,0,1,2024-10-20,none,0
INV-1439,V-NEW-014,NewVendor Corp 14,industrial,PO-88152,66192.68,68750.2,62649.02,3.86,11,1,1,2025-02-27,new_vendor_risk,1
INV-75938,V-010,ProMed Devices,medical,PO-17283,92811.61,126895.31,92811.61,36.72,25,0,0,2025-02-25,overbilling,1
INV-29200,V-010,ProMed Devices,medical,PO-59047,97502.24,95889.69,97502.24,-1.65,34,0,1,2026-02-03,none,0
INV-48942,V-009,CleanCo Services,facilities,PO-21836,6231.15,6200.9301128830075,6231.15,-0.48,41,0,1,2025-02-15,none,0
INV-53393,V-005,FastTech Solutions,IT,PO-94531,29083.6,29102.77,29083.6,0.07,27,0,1,2024-12-10,none,0
INV-66019,V-003,MedCo Supplies Inc,medical,PO-45422,11475.78,11414.97,11475.78,-0.53,28,0,1,2026-03-08,none,0
INV-8870,V-NEW-016,NewVendor Corp 16,medical,PO-95047,91341.72,89326.12,81190.77,-2.21,4,1,1,2026-01-26,new_vendor_risk,1
INV-61295,V-009,CleanCo Services,facilities,PO-58265,6101.68,6089.56,6101.68,-0.2,2,0,1,2025-02-04,duplicate,1
INV-56610,V-009,CleanCo Services,facilities,PO-82174,6136.71,6076.66,6136.71,-0.98,31,0,1,2024-09-30,none,0
INV-63636,V-009,CleanCo Services,facilities,PO-89158,6116.03,7804.05,6116.03,27.6,25,0,0,2025-11-15,overbilling,1
INV-49866,V-004,OfficeMax,stationery,PO-30879,1926.05,2923.51,1926.05,51.79,31,0,0,2025-12-17,overbilling,1
INV-59782,V-006,GlobalParts Co,industrial,PO-63088,55817.8,54304.63,55817.8,-2.71,39,0,1,2026-01-09,none,0
INV-19040,V-NEW-014,NewVendor Corp 14,industrial,PO-70318,102320.26,107203.26,92111.55,4.77,11,1,1,2025-02-11,new_vendor_risk,1
INV-50005,V-003,MedCo Supplies Inc,medical,PO-53450,11293.69,11681.657537627592,11293.69,3.44,29,0,1,2025-01-27,none,0
INV-4670,V-004,OfficeMax,stationery,PO-37742,1944.01,1989.44,1944.01,2.34,33,0,1,2024-08-06,none,0
INV-42361,V-007,SafetyFirst Ltd,safety,PO-75136,7918.74,8068.79,7918.74,1.89,3,0,1,2025-12-22,duplicate,1
INV-75948,V-010,ProMed Devices,medical,PO-85313,101371.64,152951.14,101371.64,50.88,31,0,0,2025-03-09,overbilling,1
INV-66235,V-008,TechServe Inc,IT,PO-68232,45355.31,46366.12,45355.31,2.23,37,0,1,2025-08-21,none,0
INV-10315,V-008,TechServe Inc,IT,PO-57628,41503.1,41456.16,41503.1,-0.11,30,0,1,2024-05-13,none,0
INV-65656,V-008,TechServe Inc,IT,PO-19368,49189.57,48060.13,49189.57,-2.3,23,0,1,2024-07-27,none,0
INV-32937,V-004,OfficeMax,stationery,PO-17145,1972.85,1966.75,1972.85,-0.31,39,0,1,2024-07-08,none,0
INV-81933,V-010,ProMed Devices,medical,PO-62923,90201.89,90745.66,90201.89,0.6,26,0,1,2026-01-16,none,0
INV-53474,V-003,MedCo Supplies Inc,medical,PO-39880,13055.4,12873.46,0.0,-1.39,39,0,0,2025-12-14,phantom_delivery,1
INV-32708,V-008,TechServe Inc,IT,PO-47609,42023.15,41706.54,42023.15,-0.75,5,0,1,2024-12-06,duplicate,1
INV-95590,V-003,MedCo Supplies Inc,medical,PO-58873,12099.67,12182.56,12099.67,0.69,20,0,1,2025-08-06,none,0
INV-66174,V-006,GlobalParts Co,industrial,PO-27319,47935.51,47328.020176689904,47935.51,-1.27,27,0,1,2025-08-27,none,0
INV-65261,V-006,GlobalParts Co,industrial,PO-53069,56034.93,55016.11,56034.93,-1.82,29,0,1,2024-06-14,none,0
INV-6286,V-010,ProMed Devices,medical,PO-38183,98272.76,98162.37,98272.76,-0.11,21,0,1,2025-04-25,none,0
INV-66323,V-009,CleanCo Services,facilities,PO-94213,6272.19,8109.09,6272.19,29.29,32,0,0,2024-06-27,overbilling,1
INV-68372,V-NEW-016,NewVendor Corp 16,medical,PO-87636,124670.0,136999.03,115989.74,9.89,15,1,0,2025-03-23,new_vendor_risk,1
INV-44165,V-003,MedCo Supplies Inc,medical,PO-61140,12784.27,12560.79,12784.27,-1.75,32,0,1,2024-11-14,none,0
INV-94661,V-009,CleanCo Services,facilities,PO-24195,5582.36,5427.66,5582.36,-2.77,34,0,1,2024-12-18,none,0
